,country,iso_code,year,unit_of_measure,total_million
0,Canada,CAN,2023,persons,1.2
1,United States,USA,2023,persons,16.3
2,Canada,CAN,2022,persons,1.1
3,United States,USA,2022,persons,16.2
4,Canada,CAN,2021,persons,1.2
5,United States,USA,2021,persons,8.5
6,Canada,CAN,2020,persons,1.2
7,United States,USA,2020,persons,11.0
8,Canada,CAN,2019,persons,1.0
9,United States,USA,2019,persons,14.4
10,Canada,CAN,2018,persons,1.0
11,United States,USA,2018,persons,15.9
12,Canada,CAN,2017,persons,1.2
13,United States,USA,2017,persons,16.6
